generator_id,a_i,b_i,pmin,pmax
1,14.36,0.01484,24.95,149.9
2,28.77,0.01684,23.32,185.32999999999998
3,23.3,0.02636,17.05,151.45000000000002
4,19.97,0.0135,34.29,96.78999999999999
5,8.9,0.02674,29.06,106.9
6,8.9,0.0072,44.63,127.53
7,6.45,0.02442,11.28,99.96000000000001
8,26.65,0.02619,35.75,170.56
9,20.03,0.00955,40.52,166.11
10,22.7,0.01576,40.38,120.85
11,5.51,0.00914,45.44,105.57
12,29.25,0.02267,39.16,114.86999999999999
13,25.81,0.01838,47.11,244.76999999999998
14,10.31,0.02088,23.31,143.59
15,9.55,0.00991,30.13,210.23
16,9.59,0.01029,10.56,187.87
17,12.61,0.00604,10.28,137.01
18,18.12,0.01305,19.61,175.61
19,15.8,0.01899,14.03,92.94
20,12.28,0.02645,20.41,173.67
21,20.3,0.02167,17.08,107.94
22,8.49,0.01588,11.14,185.95
23,12.3,0.02883,46.37,108.93
24,14.16,0.02298,10.33,176.3
25,16.4,0.02825,39.44,104.42999999999999
26,24.63,0.01819,16.09,198.27
27,9.99,0.01147,46.49,142.12
28,17.86,0.00632,45.71,193.87
29,19.81,0.02315,36.16,159.29
30,6.16,0.00803,36.89,141.84
31,20.19,0.01257,10.21,157.03
32,9.26,0.01831,49.39,241.51999999999998
33,6.63,0.01911,45.11,101.3
34,28.72,0.02001,45.8,233.63
35,29.14,0.00916,36.37,177.73000000000002
36,25.21,0.01449,23.79,194.89
37,12.62,0.02043,45.75,153.32999999999998
38,7.44,0.02925,21.66,142.44
39,22.11,0.02319,32.51,212.84
40,16.0,0.02807,13.99,126.22
41,8.05,0.02406,46.88,177.07999999999998
42,17.38,0.01979,15.63,68.66
43,5.86,0.0098,19.0,92.79
44,27.73,0.02167,32.33,178.57999999999998
45,11.47,0.02058,40.56,198.11
46,21.56,0.02006,34.77,172.16
47,12.79,0.01724,19.29,90.78999999999999
48,18.0,0.01822,10.04,126.85
49,18.67,0.01336,40.29,143.55
50,9.62,0.01798,49.41,173.76
51,29.24,0.00994,42.4,222.95000000000002
52,24.38,0.02513,28.41,194.79
53,28.49,0.00964,46.15,108.75
54,27.37,0.00712,26.39,209.94
55,19.95,0.01591,31.0,151.76999999999998
56,28.05,0.02146,29.09,190.67000000000002
57,7.21,0.01594,27.9,98.91
58,9.9,0.01192,41.01,191.62
59,6.13,0.01895,31.07,116.52000000000001
60,13.13,0.01368,22.67,138.43
61,14.72,0.02832,20.33,72.86
62,11.78,0.02807,11.51,84.25
63,25.72,0.01756,33.33,97.14
64,13.92,0.0132,19.2,105.16
65,12.02,0.02343,15.93,80.93
66,18.57,0.00592,36.15,189.94
67,8.52,0.01687,37.25,91.61
68,25.05,0.01341,40.09,182.75
69,6.86,0.02801,30.14,101.25
70,29.67,0.0053,45.76,237.53
71,24.31,0.01882,47.45,237.41000000000003
72,9.97,0.02352,42.29,126.12
73,5.14,0.01713,35.42,177.57999999999998
74,25.39,0.00714,22.15,76.35
75,22.67,0.02931,49.32,239.09
76,23.23,0.01795,20.97,149.42
77,24.28,0.02035,18.11,74.59
78,6.85,0.01092,27.69,129.06
79,13.96,0.01709,12.27,73.8
80,7.9,0.01573,49.14,158.07999999999998
81,26.58,0.00687,33.54,184.03
82,20.58,0.00765,32.28,152.76
83,13.27,0.02594,36.23,143.79
84,6.59,0.011,29.88,97.75
85,12.77,0.00987,11.28,98.02
86,13.13,0.01762,34.49,99.50999999999999
87,23.24,0.02422,38.65,209.77
88,20.94,0.00655,26.67,96.96000000000001
89,27.18,0.01942,40.29,179.6
90,16.81,0.00798,19.08,120.49
91,7.99,0.00591,18.85,102.75
92,22.83,0.00632,16.46,162.38
93,24.02,0.02585,24.88,143.43
94,19.03,0.00795,43.88,153.9
95,24.27,0.00613,43.12,182.05
96,17.34,0.01595,25.31,149.0
97,18.07,0.0261,33.56,129.07999999999998
98,15.69,0.01156,38.83,172.69
99,5.64,0.01554,19.65,170.07
100,7.7,0.006,16.73,70.73
101,5.79,0.01623,48.88,168.76
102,20.91,0.01944,34.7,93.35
103,12.86,0.01927,49.26,127.22
104,17.71,0.01331,23.51,157.59
105,27.69,0.01289,38.12,218.05
106,11.23,0.00767,18.9,201.32
107,15.26,0.01417,20.45,80.94
108,23.89,0.00749,30.48,143.35
109,10.72,0.02416,22.78,160.23
110,6.92,0.02916,16.7,88.76
111,12.24,0.02925,20.52,185.33
112,9.03,0.02663,11.43,173.07
113,28.24,0.02002,38.18,223.68
114,25.2,0.02252,29.68,80.95
115,20.84,0.01213,13.77,96.27
116,26.79,0.02077,16.87,190.95000000000002
117,25.09,0.01639,14.1,164.69
118,9.66,0.01705,34.5,218.66
119,27.31,0.02394,13.77,72.35
120,18.48,0.01205,40.17,179.70999999999998
121,25.19,0.01295,10.82,146.18
122,27.4,0.02812,19.98,75.33
123,12.95,0.00641,45.63,172.66
124,7.75,0.01714,38.74,180.17000000000002
125,10.7,0.02782,12.92,91.61
126,15.68,0.02026,42.85,133.85
127,25.45,0.01866,29.72,175.77
128,26.52,0.01124,43.87,164.12
129,5.17,0.01358,34.03,212.73
130,17.77,0.0263,37.27,138.63
131,15.44,0.01898,49.74,139.74
132,10.55,0.01787,19.29,217.01999999999998
133,8.0,0.00749,34.96,221.63
134,13.44,0.0054,28.41,82.76
135,28.57,0.02909,11.58,177.19000000000003
136,13.08,0.01442,10.58,77.13
137,17.97,0.02008,14.77,68.89
138,22.58,0.00699,35.96,127.00999999999999
139,14.09,0.02208,32.69,123.09
140,29.29,0.02831,32.14,205.04000000000002
141,29.06,0.01939,11.27,167.87
142,11.29,0.00815,28.77,226.01000000000002
143,17.43,0.01954,46.98,203.70999999999998
144,12.52,0.02416,25.9,138.64
145,12.12,0.01516,35.0,189.84
146,5.92,0.027,41.19,241.10999999999999
147,20.24,0.02122,41.36,197.88
148,17.57,0.02748,30.77,195.02
149,6.29,0.02059,44.32,235.07
150,11.97,0.00828,25.66,92.71
151,27.71,0.01274,45.55,201.26999999999998
152,10.99,0.01004,19.61,197.23000000000002
153,8.62,0.02772,21.21,214.37
154,17.24,0.02401,12.12,93.77000000000001
155,29.64,0.02191,41.82,167.41
156,11.05,0.01252,26.68,178.76000000000002
157,21.8,0.0096,19.16,106.28
158,24.04,0.02391,19.27,159.34
159,10.94,0.01685,46.06,134.7
160,23.21,0.01064,43.36,143.38
161,14.19,0.02042,32.14,148.37
162,20.81,0.00601,34.64,164.01999999999998
163,20.84,0.01315,28.97,146.37
164,18.39,0.01671,25.67,149.65
165,7.26,0.0087,46.62,141.41
166,25.88,0.02962,15.02,88.86
167,13.02,0.01023,26.74,83.84
168,9.66,0.00826,23.78,103.18
169,6.02,0.01009,29.93,167.22
170,19.77,0.02423,28.31,196.23
171,21.94,0.01564,30.76,106.15
172,5.41,0.01914,15.6,81.88
173,17.8,0.00553,30.53,192.92
174,10.66,0.00586,19.7,115.47
175,21.13,0.01615,17.37,210.09
176,9.36,0.02542,12.59,169.74
177,22.27,0.02713,40.51,139.52
178,14.67,0.00717,27.1,120.53
179,28.42,0.01846,35.07,163.62
180,8.44,0.02783,39.1,100.97
181,13.53,0.0147,37.17,104.82000000000001
182,7.84,0.02574,28.82,105.19999999999999
183,28.12,0.00834,25.52,191.73000000000002
184,26.93,0.02838,25.04,152.12
185,11.45,0.02379,35.6,87.19
186,21.5,0.02853,29.79,180.82
187,25.43,0.02192,43.97,157.51999999999998
188,18.88,0.01409,44.99,171.62
189,18.24,0.02845,16.82,98.94
190,11.05,0.01189,15.45,148.22
191,7.33,0.0133,35.22,232.09
192,27.43,0.02252,22.05,83.07000000000001
193,27.51,0.02413,10.74,103.33
194,20.83,0.02824,45.55,132.0
195,13.48,0.01012,19.08,106.36
196,13.73,0.02495,47.17,153.98000000000002
197,23.15,0.02346,38.7,211.42000000000002
198,27.43,0.00659,40.51,227.44
199,27.18,0.01468,18.06,98.39
200,24.5,0.01207,19.37,150.81
201,21.05,0.01261,30.85,176.38
202,7.1,0.02957,16.88,145.15
203,9.04,0.02107,22.22,137.32999999999998
204,27.46,0.02294,22.86,101.66
205,20.16,0.02942,16.39,139.62
206,5.23,0.01443,18.21,128.39000000000001
207,7.54,0.02505,41.54,210.87
208,21.59,0.01586,16.69,181.23
209,5.13,0.02674,11.14,81.24
210,9.02,0.00952,35.17,98.45
211,18.72,0.02869,49.04,235.26
212,22.3,0.01047,23.25,153.58
213,21.3,0.01316,14.75,193.42
214,10.61,0.0239,32.82,91.53999999999999
215,22.8,0.01484,46.25,175.23
216,10.93,0.02021,41.36,172.26999999999998
217,13.13,0.01611,34.9,214.01000000000002
218,23.66,0.02356,22.6,87.24000000000001
219,21.24,0.01071,31.68,117.75
220,26.23,0.00646,13.65,124.63000000000001
221,21.44,0.0125,37.16,217.04
222,19.21,0.01686,39.0,229.83
223,7.34,0.0092,48.6,247.51
224,14.19,0.01387,20.42,214.3
225,11.63,0.015,10.74,61.63
226,11.1,0.00643,31.82,88.97999999999999
227,29.33,0.01958,38.27,110.41
228,14.83,0.02711,41.62,143.95
229,27.3,0.00879,17.75,192.24
230,20.78,0.01995,20.47,204.37
